,ID,Product Id,Category,Name,Brand,Rating,ReviewCount,Description,ImageURL,Tags,Gender
0,1,15970,Topwear,Shirts,OPI,4.5,300,Turtle Check Men Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg,"Shirts,myntassets.com",Men
1,2,39386,Bottomwear,Jeans,Nice'n Easy,4.5,300,Peter England Men Party Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg,"Jeans,myntassets.com",Men
2,3,59263,Watches,Watches,Clairol,4.5,29221,Titan Women Silver Watch,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg,"Watches,myntassets.com",Women
3,4,21379,Bottomwear,Track Pants,Kokie Cosmetics,4.5,300,Manchester United Men Solid Black Track Pants,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg,"Track Pants,myntassets.com",Men
4,5,53759,Topwear,Tshirts,Gillette,4.5,131,Puma Men Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg,"Tshirts,myntassets.com",Men
5,6,1855,Topwear,Tshirts,Old Spice,4.6,52,Inkfruit Mens Chain Reaction T-shirt,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg,"Tshirts,myntassets.com",Men
6,7,30805,Topwear,Shirts,Colgate,4.3,10,Fabindia Men Striped Green Shirt,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg,"Shirts,myntassets.com",Men
7,8,26960,Topwear,Shirts,BMC,4.5,300,Jealous 21 Women Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg,"Shirts,myntassets.com",Women
8,9,29114,Socks,Socks,Suave,5,1,Puma Men Pack of 3 Socks,http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg,"Socks,myntassets.com",Men
9,10,30039,Watches,Watches,Vaseline,4.5,950,Skagen Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg,"Watches,myntassets.com",Men
10,11,9204,Shoes,Casual Shoes,The Art of Shaving,4.5,300,Puma Men Future Cat Remix SF Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg,"Casual Shoes,myntassets.com",Men
