Uniq id,Product Id,gender,masterCategory,Product Category,Product Name,baseColour,Product Brand,season,Product Rating,Product Reviews Count,usage,Product Description,Product Image Url,Product ,Tags,Product Tags
1,15970,Men,Apparel,Topwear,Shirts,Navy Blue,OPI,Fall,5,5,Casual,Turtle Check Men Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
2,39386,Men,Apparel,Bottomwear,Jeans,Blue,Nice'n Easy,Summer,5,5,Casual,Peter England Men Party Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg,Jeans,myntassets.com,"Jeans,myntassets.com"
3,59263,Women,Accessories,Watches,Watches,Silver,Clairol,Winter,4.5,29221,Casual,Titan Women Silver Watch,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
4,21379,Men,Apparel,Bottomwear,Track Pants,Black,Kokie Cosmetics,Fall,5,5,Casual,Manchester United Men Solid Black Track Pants,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg,Track Pants,myntassets.com,"Track Pants,myntassets.com"
5,53759,Men,Apparel,Topwear,Tshirts,Grey,Gillette,Summer,5,131,Casual,Puma Men Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
6,1855,Men,Apparel,Topwear,Tshirts,Grey,Old Spice,Summer,4.6,52,Casual,Inkfruit Mens Chain Reaction T-shirt,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
7,30805,Men,Apparel,Topwear,Shirts,Green,Colgate,Summer,4.3,10,Ethnic,Fabindia Men Striped Green Shirt,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
8,26960,Women,Apparel,Topwear,Shirts,Purple,BMC,Summer,5,5,Casual,Jealous 21 Women Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
9,29114,Men,Accessories,Socks,Socks,Navy Blue,Suave,Summer,5,1,Casual,Puma Men Pack of 3 Socks,http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg,Socks,myntassets.com,"Socks,myntassets.com"
10,30039,Men,Accessories,Watches,Watches,Black,Vaseline,Winter,5,950,Casual,Skagen Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
11,9204,Men,Footwear,Shoes,Casual Shoes,Black,The Art of Shaving,Summer,5,5,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg,Casual Shoes,myntassets.com,"Casual Shoes,myntassets.com"
12,48123,Women,Accessories,Belts,Belts,Black,ORLY,Summer,4.5,2,Casual,Fossil Women Black Huarache Weave Belt,http://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg,Belts,myntassets.com,"Belts,myntassets.com"
13,18653,Men,Footwear,Flip Flops,Flip Flops,Black,L'Oreal Paris,Fall,3.8,184,Casual,Fila Men Cush Flex Black Slippers,http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg,Flip Flops,myntassets.com,"Flip Flops,myntassets.com"
14,47957,Women,Accessories,Bags,Handbags,Blue,Pantene,Summer,4.1,413,Casual,Murcia Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
